Numero de qubits: 50 
Dimension max: 64 
p= 6 
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.40E-116 time=0.010
After sweep 1 energy=-12.49999311813969  maxlinkdim=64 maxerr=9.84E-16 time=0.138
After sweep 1 energy=-12.499999999990779  maxlinkdim=25 maxerr=1.00E-15 time=0.254
After sweep 1 energy=-12.500000000000004  maxlinkdim=1 maxerr=9.32E-16 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.08E-64 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.022
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-94 time=0.011
After sweep 1 energy=-12.49999230497972  maxlinkdim=64 maxerr=9.81E-16 time=0.143
After sweep 1 energy=-12.49999999999096  maxlinkdim=23 maxerr=9.95E-16 time=0.114
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-16 time=0.018
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.47E-123 time=0.010
After sweep 1 energy=-12.499998989978565  maxlinkdim=63 maxerr=9.95E-16 time=0.133
After sweep 1 energy=-12.499999999990703  maxlinkdim=10 maxerr=9.80E-16 time=0.063
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.31E-16 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.36E-96 time=0.012
After sweep 1 energy=-12.499997719102499  maxlinkdim=64 maxerr=9.97E-16 time=0.131
After sweep 1 energy=-12.499999999979783  maxlinkdim=11 maxerr=9.96E-16 time=0.067
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.25E-16 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.57E-99 time=0.010
After sweep 1 energy=-12.499998251421221  maxlinkdim=64 maxerr=9.95E-16 time=0.275
After sweep 1 energy=-12.499999999998789  maxlinkdim=9 maxerr=9.97E-16 time=0.070
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.44E-16 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.20E-65 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.34E-66 time=0.026
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.69E-87 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.69E-87 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.69E-87 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.69E-87 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.69E-87 time=0.014
After sweep 1 energy=-12.499998542308209  maxlinkdim=64 maxerr=9.93E-16 time=0.130
After sweep 1 energy=-12.499999999999826  maxlinkdim=8 maxerr=9.87E-16 time=0.063
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.50E-19 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.33E-89 time=0.010
Numero de qubits: 50 
Dimension max: 64 
p= 1.0 
After sweep 1 energy=-12.625312447150492  maxlinkdim=64 maxerr=9.95E-16 time=0.139
After sweep 1 energy=-12.625315674792784  maxlinkdim=21 maxerr=9.98E-16 time=0.124
After sweep 1 energy=-12.625315674807014  maxlinkdim=8 maxerr=9.92E-16 time=0.026
After sweep 1 energy=-12.625315674807057  maxlinkdim=7 maxerr=8.02E-16 time=0.024
After sweep 1 energy=-12.625315674807043  maxlinkdim=7 maxerr=7.90E-16 time=0.024
After sweep 1 energy=-12.62531567480702  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.625315674807045  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807021  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.62531567480705  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807055  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625305185356478  maxlinkdim=64 maxerr=9.84E-16 time=0.292
